,Unnamed: 0,name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,movie_id,clean_title
981,99,Terminator Salvation,2009,PG-13,1h 55min,Action; Adventure; Sci-Fi; ,21 May 2009 (USA),6.5,337484,1083,https://www.imdb.com/title/tt0438488/reviews/_ajax?ref_=undefined&paginationKey=,981,terminator salvation
982,5,Troy,2004,R,2h 43min,Drama; History; ,14 May 2004 (USA),7.2,476975,1789,https://www.imdb.com/title/tt0332452/reviews/_ajax?ref_=undefined&paginationKey=,982,troy
983,12,Pearl Harbor,2001,PG-13,3h 3min,Action; Drama; History; ,25 May 2001 (USA),6.2,305503,2022,https://www.imdb.com/title/tt0213149/reviews/_ajax?ref_=undefined&paginationKey=,983,pearl harbor
984,13,Les Misérables,2012,PG-13,2h 38min,Drama; History; ,25 December 2012 (USA),7.6,300852,968,https://www.imdb.com/title/tt1707386/reviews/_ajax?ref_=undefined&paginationKey=,984,les misrables
985,14,Gone with the Wind,1939,Passed,3h 58min,Drama; History; Romance; ,17 January 1940 (USA),8.1,281414,870,https://www.imdb.com/title/tt0031381/reviews/_ajax?ref_=undefined&paginationKey=,985,gone with the wind
986,16,Zero Dark Thirty,2012,R,2h 37min,Drama; History; Thriller; ,11 January 2013 (USA),7.4,264555,709,https://www.imdb.com/title/tt1790885/reviews/_ajax?ref_=undefined&paginationKey=,986,zero dark thirty
987,17,Apollo 13,1995,PG,2h 20min,Adventure; Drama; History; ,30 June 1995 (USA),7.6,260497,385,https://www.imdb.com/title/tt0112384/reviews/_ajax?ref_=undefined&paginationKey=,987,apollo 13
988,18,The Patriot,2000,R,2h 45min,Action; Drama; History; ,28 June 2000 (USA),7.2,249168,1189,https://www.imdb.com/title/tt0187393/reviews/_ajax?ref_=undefined&paginationKey=,988,the patriot
989,21,21,2008,PG-13,2h 3min,Crime; Drama; History; ,28 March 2008 (USA),6.8,224589,311,https://www.imdb.com/title/tt0478087/reviews/_ajax?ref_=undefined&paginationKey=,989,21
990,22,Valkyrie,2008,PG-13,2h 1min,Drama; History; Thriller; ,25 December 2008 (USA),7.1,223620,468,https://www.imdb.com/title/tt0985699/reviews/_ajax?ref_=undefined&paginationKey=,990,valkyrie
991,23,The Great Escape,1963,Not Rated,2h 52min,Adventure; Drama; History; ,4 July 1963 (USA),8.2,217996,356,https://www.imdb.com/title/tt0057115/reviews/_ajax?ref_=undefined&paginationKey=,991,the great escape
992,25,Ben-Hur,1959,G,3h 32min,Adventure; Drama; History; ,29 January 1960 (Brazil),8.1,213444,443,https://www.imdb.com/title/tt0052618/reviews/_ajax?ref_=undefined&paginationKey=,992,ben-hur
993,26,Shakespeare in Love,1998,R,2h 3min,Comedy; Drama; History; ,8 January 1999 (USA),7.1,209979,780,https://www.imdb.com/title/tt0138097/reviews/_ajax?ref_=undefined&paginationKey=,993,shakespeare in love
994,27,Munich,2005,R,2h 44min,Action; Drama; History; ,6 January 2006 (USA),7.5,207019,856,https://www.imdb.com/title/tt0408306/reviews/_ajax?ref_=undefined&paginationKey=,994,munich
995,29,The Impossible,2012,PG-13,1h 54min,Drama; History; Thriller; ,4 January 2013 (USA),7.6,190768,423,https://www.imdb.com/title/tt1649419/reviews/_ajax?ref_=undefined&paginationKey=,995,the impossible
996,33,Hero,2002,PG-13,2h,Action; Adventure; History; ,27 August 2004 (USA),7.9,171351,864,https://www.imdb.com/title/tt0299977/reviews/_ajax?ref_=undefined&paginationKey=,996,hero
997,36,Deepwater Horizon,2016,PG-13,1h 47min,Action; Drama; History; ,30 September 2016 (USA),7.1,145401,281,https://www.imdb.com/title/tt1860357/reviews/_ajax?ref_=undefined&paginationKey=,997,deepwater horizon
998,37,Barry Lyndon,1975,PG,3h 5min,Adventure; Drama; History; ,18 December 1975 (USA),8.1,143733,457,https://www.imdb.com/title/tt0072684/reviews/_ajax?ref_=undefined&paginationKey=,998,barry lyndon
999,38,JFK,1991,R,3h 9min,Drama; History; Thriller; ,20 December 1991 (USA),8.0,137425,485,https://www.imdb.com/title/tt0102138/reviews/_ajax?ref_=undefined&paginationKey=,999,jfk
1000,39,Cold Mountain,2003,R,2h 34min,Adventure; Drama; History; ,25 December 2003 (USA),7.2,137401,696,https://www.imdb.com/title/tt0159365/reviews/_ajax?ref_=undefined&paginationKey=,1000,cold mountain
1001,40,Defiance,2008,R,2h 17min,Action; Drama; History; ,16 January 2009 (USA),7.2,135323,265,https://www.imdb.com/title/tt1034303/reviews/_ajax?ref_=undefined&paginationKey=,1001,defiance
1002,41,We Were Soldiers,2002,R,2h 18min,Action; Drama; History; ,1 March 2002 (USA),7.2,127187,770,https://www.imdb.com/title/tt0277434/reviews/_ajax?ref_=undefined&paginationKey=,1002,we were soldiers
1003,42,The Monuments Men,2014,PG-13,1h 58min,Comedy; Drama; History; ,7 February 2014 (USA),6.1,122173,443,https://www.imdb.com/title/tt2177771/reviews/_ajax?ref_=undefined&paginationKey=,1003,the monuments men
1004,43,Glory,1989,R,2h 2min,Biography; Drama; History; ,16 February 1990 (USA),7.8,117966,444,https://www.imdb.com/title/tt0097441/reviews/_ajax?ref_=undefined&paginationKey=,1004,glory
1005,44,The 13th Warrior,1999,R,1h 42min,Action; Adventure; History; ,27 August 1999 (USA),6.6,114167,581,https://www.imdb.com/title/tt0120657/reviews/_ajax?ref_=undefined&paginationKey=,1005,the 13th warrior
1006,45,Empire of the Sun,1987,PG,2h 33min,Action; Drama; History; ,25 December 1987 (USA),7.7,112275,342,https://www.imdb.com/title/tt0092965/reviews/_ajax?ref_=undefined&paginationKey=,1006,empire of the sun
1007,46,Rang De Basanti,2006,Not Rated,2h 47min,Comedy; Drama; History; ,26 January 2006 (USA),8.2,107678,361,https://www.imdb.com/title/tt0405508/reviews/_ajax?ref_=undefined&paginationKey=,1007,rang de basanti
1008,47,The Way Back,2010,PG-13,2h 13min,Adventure; Drama; History; ,21 January 2011 (USA),7.3,107455,202,https://www.imdb.com/title/tt1023114/reviews/_ajax?ref_=undefined&paginationKey=,1008,the way back
