Unnamed: 0.1,Unnamed: 0,name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,movie_id,clean_title,imdb_id,description
0,0,The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9.0,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=,0,the dark knight,tt0468569,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
1,1,Inception,2010,PG-13,2h 28min,Action; Adventure; Sci-Fi; ,16 July 2010 (USA),8.8,1981675,3820,https://www.imdb.com/title/tt1375666/reviews/_ajax?ref_=undefined&paginationKey=,1,inception,tt1375666,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
2,2,The Matrix,1999,R,2h 16min,Action; Sci-Fi; ,31 March 1999 (USA),8.7,1619761,4281,https://www.imdb.com/title/tt0133093/reviews/_ajax?ref_=undefined&paginationKey=,2,the matrix,tt0133093,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
3,3,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58min,Action; Adventure; Drama; ,19 December 2001 (USA),8.8,1609165,5365,https://www.imdb.com/title/tt0120737/reviews/_ajax?ref_=undefined&paginationKey=,3,the lord of the rings: the fellowship of the ring,tt0120737,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
4,4,The Dark Knight Rises,2012,PG-13,2h 44min,Action; Adventure; ,20 July 2012 (USA),8.4,1470329,2979,https://www.imdb.com/title/tt1345836/reviews/_ajax?ref_=undefined&paginationKey=,4,the dark knight rises,tt1345836,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again."
5,5,Gladiator,2000,R,2h 35min,Action; Adventure; Drama; ,5 May 2000 (USA),8.5,1297718,2636,https://www.imdb.com/title/tt0172495/reviews/_ajax?ref_=undefined&paginationKey=,5,gladiator,tt0172495,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
6,6,Batman Begins,2005,PG-13,2h 20min,Action; Adventure; ,15 June 2005 (USA),8.2,1269027,2885,https://www.imdb.com/title/tt0372784/reviews/_ajax?ref_=undefined&paginationKey=,6,batman begins,tt0372784,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
7,7,The Avengers,2012,PG-13,2h 23min,Action; Adventure; Sci-Fi; ,4 May 2012 (USA),8.0,1236048,1929,https://www.imdb.com/title/tt0848228/reviews/_ajax?ref_=undefined&paginationKey=,7,the avengers,tt0848228,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
8,8,Star Wars: Episode IV - A New Hope,1977,PG,2h 1min,Action; Adventure; Fantasy; ,25 May 1977 (USA),8.6,1197132,1834,https://www.imdb.com/title/tt0076759/reviews/_ajax?ref_=undefined&paginationKey=,8,star wars: episode iv - a new hope,tt0076759,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
9,9,Star Wars: Episode V - The Empire Strikes Back,1980,PG,2h 4min,Action; Adventure; Fantasy; ,20 June 1980 (USA),8.7,1124834,1214,https://www.imdb.com/title/tt0080684/reviews/_ajax?ref_=undefined&paginationKey=,9,star wars: episode v - the empire strikes back,tt0080684,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
10,10,Avatar,2009,PG-13,2h 42min,Action; Adventure; Fantasy; ,18 December 2009 (USA),7.8,1096125,3415,https://www.imdb.com/title/tt0499549/reviews/_ajax?ref_=undefined&paginationKey=,10,avatar,tt0499549,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
11,11,Guardians of the Galaxy,2014,PG-13,2h 1min,Action; Adventure; Comedy; ,1 August 2014 (USA),8.0,1017405,1390,https://www.imdb.com/title/tt2015381/reviews/_ajax?ref_=undefined&paginationKey=,11,guardians of the galaxy,tt2015381,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
12,12,V for Vendetta,2005,R,2h 12min,Action; Drama; Sci-Fi; ,17 March 2006 (USA),8.2,1002944,2205,https://www.imdb.com/title/tt0434409/reviews/_ajax?ref_=undefined&paginationKey=,12,v for vendetta,tt0434409,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
13,13,Léon: The Professional,1994,R,1h 50min,Action; Crime; Drama; ,18 November 1994 (USA),8.5,999596,1193,https://www.imdb.com/title/tt0110413/reviews/_ajax?ref_=undefined&paginationKey=,13,lon: the professional,tt0110413,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
14,14,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,2h 23min,Action; Adventure; Fantasy; ,9 July 2003 (USA),8.0,997264,2186,https://www.imdb.com/title/tt0325980/reviews/_ajax?ref_=undefined&paginationKey=,14,pirates of the caribbean: the curse of the black pearl,tt0325980,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead."
15,15,Kill Bill: Vol. 1,2003,R,1h 51min,Action; Crime; Thriller; ,10 October 2003 (USA),8.1,970439,2272,https://www.imdb.com/title/tt0266697/reviews/_ajax?ref_=undefined&paginationKey=,15,kill bill: vol. 1,tt0266697,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
16,16,Terminator 2: Judgment Day,1991,R,2h 17min,Action; Sci-Fi; ,3 July 1991 (USA),8.5,968504,1269,https://www.imdb.com/title/tt0103064/reviews/_ajax?ref_=undefined&paginationKey=,16,terminator 2: judgment day,tt0103064,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
17,17,Star Wars: Episode VI - Return of the Jedi,1983,PG,2h 11min,Action; Adventure; Fantasy; ,25 May 1983 (USA),8.3,922278,828,https://www.imdb.com/title/tt0086190/reviews/_ajax?ref_=undefined&paginationKey=,17,star wars: episode vi - return of the jedi,tt0086190,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side."
18,18,Iron Man,2008,PG-13,2h 6min,Action; Adventure; Sci-Fi; ,2 May 2008 (USA),7.9,915640,1319,https://www.imdb.com/title/tt0371746/reviews/_ajax?ref_=undefined&paginationKey=,18,iron man,tt0371746,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
19,19,Deadpool,2016,R,1h 48min,Action; Adventure; Comedy; ,12 February 2016 (USA),8.0,876091,1440,https://www.imdb.com/title/tt1431045/reviews/_ajax?ref_=undefined&paginationKey=,19,deadpool,tt1431045,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks."
20,20,Raiders of the Lost Ark,1981,PG,1h 55min,Action; Adventure; ,12 June 1981 (USA),8.4,859523,931,https://www.imdb.com/title/tt0082971/reviews/_ajax?ref_=undefined&paginationKey=,20,raiders of the lost ark,tt0082971,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers."
21,21,Mad Max: Fury Road,2015,R,2h,Action; Adventure; Sci-Fi; ,15 May 2015 (USA),8.1,848011,1990,https://www.imdb.com/title/tt1392190/reviews/_ajax?ref_=undefined&paginationKey=,21,mad max: fury road,tt1392190,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max."
22,22,Star Wars: Episode VII - The Force Awakens,2015,PG-13,2h 18min,Action; Adventure; Sci-Fi; ,18 December 2015 (USA),7.9,841234,4794,https://www.imdb.com/title/tt2488496/reviews/_ajax?ref_=undefined&paginationKey=,22,star wars: episode vii - the force awakens,tt2488496,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
23,23,Jurassic Park,1993,PG-13,2h 7min,Action; Adventure; Sci-Fi; ,11 June 1993 (USA),8.1,836793,1133,https://www.imdb.com/title/tt0107290/reviews/_ajax?ref_=undefined&paginationKey=,23,jurassic park,tt0107290,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger."
24,24,The Hunger Games,2012,PG-13,2h 22min,Action; Adventure; Sci-Fi; ,23 March 2012 (USA),7.2,826505,2037,https://www.imdb.com/title/tt1392170/reviews/_ajax?ref_=undefined&paginationKey=,24,the hunger games,tt1392170,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
25,25,Avengers: Infinity War,2018,PG-13,2h 29min,Action; Adventure; Sci-Fi; ,27 April 2018 (USA),8.4,784777,4248,https://www.imdb.com/title/tt4154756/reviews/_ajax?ref_=undefined&paginationKey=,25,avengers: infinity war,tt4154756,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
26,26,The Terminator,1984,R,1h 47min,Action; Sci-Fi; ,26 October 1984 (USA),8.0,779029,885,https://www.imdb.com/title/tt0088247/reviews/_ajax?ref_=undefined&paginationKey=,26,the terminator,tt0088247,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.
27,27,Die Hard,1988,R,2h 12min,Action; Thriller; ,20 July 1988 (USA),8.2,763300,912,https://www.imdb.com/title/tt0095016/reviews/_ajax?ref_=undefined&paginationKey=,27,die hard,tt0095016,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
28,28,Avengers: Endgame,2019,PG-13,3h 1min,Action; Adventure; Drama; ,26 April 2019 (USA),8.4,736177,8805,https://www.imdb.com/title/tt4154796/reviews/_ajax?ref_=undefined&paginationKey=,28,avengers: endgame,tt4154796,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
29,29,Iron Man 3,2013,PG-13,2h 10min,Action; Adventure; Sci-Fi; ,3 May 2013 (USA),7.2,735568,1314,https://www.imdb.com/title/tt1300854/reviews/_ajax?ref_=undefined&paginationKey=,29,iron man 3,tt1300854,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
30,30,Thor,2011,PG-13,1h 55min,Action; Adventure; Fantasy; ,6 May 2011 (USA),7.0,726753,915,https://www.imdb.com/title/tt0800369/reviews/_ajax?ref_=undefined&paginationKey=,30,thor,tt0800369,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
31,31,300,2006,R,1h 57min,Action; Drama; ,9 March 2007 (USA),7.6,719421,2176,https://www.imdb.com/title/tt0416449/reviews/_ajax?ref_=undefined&paginationKey=,31,300,tt0416449,"In the ancient battle of Thermopylae, King Leonidas and 300 Spartans fight against Xerxes and his massive Persian army."
32,32,Captain America: The First Avenger,2011,PG-13,2h 4min,Action; Adventure; Sci-Fi; ,22 July 2011 (USA),6.9,718921,882,https://www.imdb.com/title/tt0458339/reviews/_ajax?ref_=undefined&paginationKey=,32,captain america: the first avenger,tt0458339,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organization."
33,33,Avengers: Age of Ultron,2015,PG-13,2h 21min,Action; Adventure; Sci-Fi; ,1 May 2015 (USA),7.3,717521,1303,https://www.imdb.com/title/tt2395427/reviews/_ajax?ref_=undefined&paginationKey=,33,avengers: age of ultron,tt2395427,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
34,34,Captain America: The Winter Soldier,2014,PG-13,2h 16min,Action; Adventure; Sci-Fi; ,4 April 2014 (USA),7.7,714445,937,https://www.imdb.com/title/tt1843866/reviews/_ajax?ref_=undefined&paginationKey=,34,captain america: the winter soldier,tt1843866,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
35,35,Star Wars: Episode I - The Phantom Menace,1999,PG,2h 16min,Action; Adventure; Fantasy; ,19 May 1999 (USA),6.5,708990,3843,https://www.imdb.com/title/tt0120915/reviews/_ajax?ref_=undefined&paginationKey=,35,star wars: episode i - the phantom menace,tt0120915,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long-dormant Sith resurface to claim their former glory."
36,36,Iron Man 2,2010,PG-13,2h 4min,Action; Adventure; Sci-Fi; ,7 May 2010 (USA),7.0,701922,881,https://www.imdb.com/title/tt1228705/reviews/_ajax?ref_=undefined&paginationKey=,36,iron man 2,tt1228705,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy."
37,37,Star Wars: Episode III - Revenge of the Sith,2005,PG-13,2h 20min,Action; Adventure; Fantasy; ,19 May 2005 (USA),7.5,690205,3553,https://www.imdb.com/title/tt0121766/reviews/_ajax?ref_=undefined&paginationKey=,37,star wars: episode iii - revenge of the sith,tt0121766,"As the Clone Wars nears its end, Obi-Wan Kenobi pursues a new threat, while Anakin Skywalker is lured by Chancellor Palpatine into a sinister plot for galactic domination."
38,38,The Revenant,2015,R,2h 36min,Action; Adventure; Drama; ,8 January 2016 (USA),8.0,678829,1594,https://www.imdb.com/title/tt1663202/reviews/_ajax?ref_=undefined&paginationKey=,38,the revenant,tt1663202,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
39,39,Man of Steel,2013,PG-13,2h 23min,Action; Adventure; Sci-Fi; ,14 June 2013 (USA),7.0,675229,2747,https://www.imdb.com/title/tt0770828/reviews/_ajax?ref_=undefined&paginationKey=,39,man of steel,tt0770828,An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened when other survivors of his home planet invade Earth.
40,40,Blade Runner,1982,R,1h 57min,Action; Sci-Fi; Thriller; ,25 June 1982 (USA),8.1,673121,1541,https://www.imdb.com/title/tt0083658/reviews/_ajax?ref_=undefined&paginationKey=,40,blade runner,tt0083658,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
41,41,Indiana Jones and the Last Crusade,1989,PG-13,2h 7min,Action; Adventure; ,24 May 1989 (USA),8.2,672206,567,https://www.imdb.com/title/tt0097576/reviews/_ajax?ref_=undefined&paginationKey=,41,indiana jones and the last crusade,tt0097576,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
42,42,Spider-Man,2002,PG-13,2h 1min,Action; Adventure; Sci-Fi; ,3 May 2002 (USA),7.3,671751,2124,https://www.imdb.com/title/tt0145487/reviews/_ajax?ref_=undefined&paginationKey=,42,spider-man,tt0145487,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy."
43,43,I Am Legend,2007,PG-13,1h 41min,Action; Adventure; Drama; ,14 December 2007 (USA),7.2,670748,1543,https://www.imdb.com/title/tt0480249/reviews/_ajax?ref_=undefined&paginationKey=,43,i am legend,tt0480249,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure."
44,44,Kill Bill: Vol. 2,2004,R,2h 17min,Action; Crime; Thriller; ,16 April 2004 (USA),8.0,663568,1022,https://www.imdb.com/title/tt0378194/reviews/_ajax?ref_=undefined&paginationKey=,44,kill bill: vol. 2,tt0378194,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle."
45,45,X-Men: Days of Future Past,2014,PG-13,2h 12min,Action; Adventure; Sci-Fi; ,23 May 2014 (USA),8.0,647269,821,https://www.imdb.com/title/tt1877832/reviews/_ajax?ref_=undefined&paginationKey=,45,x-men: days of future past,tt1877832,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
46,46,How to Train Your Dragon,2010,PG,1h 38min,Animation; Action; Adventure; ,26 March 2010 (USA),8.1,647266,626,https://www.imdb.com/title/tt0892769/reviews/_ajax?ref_=undefined&paginationKey=,46,how to train your dragon,tt0892769,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
47,47,Pirates of the Caribbean: Dead Man's Chest,2006,PG-13,2h 31min,Action; Adventure; Fantasy; ,7 July 2006 (USA),7.3,641045,1889,https://www.imdb.com/title/tt0383574/reviews/_ajax?ref_=undefined&paginationKey=,47,pirates of the caribbean: dead man's chest,tt0383574,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
48,48,The Incredibles,2004,PG,1h 55min,Animation; Action; Adventure; ,5 November 2004 (USA),8.0,638952,946,https://www.imdb.com/title/tt0317705/reviews/_ajax?ref_=undefined&paginationKey=,48,the incredibles,tt0317705,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
49,49,Captain America: Civil War,2016,PG-13,2h 27min,Action; Adventure; Sci-Fi; ,6 May 2016 (USA),7.8,638731,1410,https://www.imdb.com/title/tt3498820/reviews/_ajax?ref_=undefined&paginationKey=,49,captain america: civil war,tt3498820,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
50,50,Aliens,1986,R,2h 17min,Action; Adventure; Sci-Fi; ,18 July 1986 (USA),8.3,635164,1280,https://www.imdb.com/title/tt0090605/reviews/_ajax?ref_=undefined&paginationKey=,50,aliens,tt0090605,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
51,51,X-Men: First Class,2011,PG-13,2h 11min,Action; Adventure; Sci-Fi; ,3 June 2011 (USA),7.7,634147,767,https://www.imdb.com/title/tt1270798/reviews/_ajax?ref_=undefined&paginationKey=,51,x-men: first class,tt1270798,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
52,52,District 9,2009,R,1h 52min,Action; Sci-Fi; Thriller; ,14 August 2009 (USA),7.9,627696,1375,https://www.imdb.com/title/tt1136608/reviews/_ajax?ref_=undefined&paginationKey=,52,district 9,tt1136608,"In a future Earth in which aliens are isolated in a remote ghetto, a government agent finds himself banished there."
53,53,Star Wars: Episode II - Attack of the Clones,2002,PG,2h 22min,Action; Adventure; Fantasy; ,16 May 2002 (USA),6.5,621911,3652,https://www.imdb.com/title/tt0121765/reviews/_ajax?ref_=undefined&paginationKey=,53,star wars: episode ii - attack of the clones,tt0121765,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi discovers a secret clone army crafted for the Jedi."
54,54,Logan,2017,R,2h 17min,Action; Drama; Sci-Fi; ,3 March 2017 (USA),8.1,621174,1559,https://www.imdb.com/title/tt3315342/reviews/_ajax?ref_=undefined&paginationKey=,54,logan,tt3315342,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
55,55,Skyfall,2012,PG-13,2h 23min,Action; Adventure; Thriller; ,9 November 2012 (USA),7.7,617644,1587,https://www.imdb.com/title/tt1074638/reviews/_ajax?ref_=undefined&paginationKey=,55,skyfall,tt1074638,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
56,56,Batman v Superman: Dawn of Justice,2016,PG-13,2h 31min,Action; Adventure; Sci-Fi; ,25 March 2016 (USA),6.4,608225,3696,https://www.imdb.com/title/tt2975590/reviews/_ajax?ref_=undefined&paginationKey=,56,batman v superman: dawn of justice,tt2975590,Batman is manipulated by Lex Luthor to fear Superman. Superman´s existence is meanwhile dividing the world and he is framed for murder during an international crisis. The heroes clash and force the neutral Wonder Woman to reemerge.
57,57,The Hunger Games: Catching Fire,2013,PG-13,2h 26min,Action; Adventure; Mystery; ,22 November 2013 (USA),7.5,600099,720,https://www.imdb.com/title/tt1951264/reviews/_ajax?ref_=undefined&paginationKey=,57,the hunger games: catching fire,tt1951264,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.
58,58,The Bourne Ultimatum,2007,PG-13,1h 55min,Action; Mystery; Thriller; ,3 August 2007 (USA),8.0,595431,882,https://www.imdb.com/title/tt0440963/reviews/_ajax?ref_=undefined&paginationKey=,58,the bourne ultimatum,tt0440963,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
59,59,Black Panther,2018,PG-13,2h 14min,Action; Adventure; Sci-Fi; ,16 February 2018 (USA),7.3,587388,3190,https://www.imdb.com/title/tt1825683/reviews/_ajax?ref_=undefined&paginationKey=,59,black panther,tt1825683,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past."
60,60,Transformers,2007,PG-13,2h 24min,Action; Adventure; Sci-Fi; ,3 July 2007 (USA),7.0,586895,1869,https://www.imdb.com/title/tt0418279/reviews/_ajax?ref_=undefined&paginationKey=,60,transformers,tt0418279,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager."
61,61,World War Z,2013,PG-13,1h 56min,Action; Adventure; Horror; ,21 June 2013 (USA),7.0,586801,1125,https://www.imdb.com/title/tt0816711/reviews/_ajax?ref_=undefined&paginationKey=,61,world war z,tt0816711,Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself.
62,62,Pirates of the Caribbean: At World's End,2007,PG-13,2h 49min,Action; Adventure; Fantasy; ,25 May 2007 (USA),7.1,582275,1290,https://www.imdb.com/title/tt0449088/reviews/_ajax?ref_=undefined&paginationKey=,62,pirates of the caribbean: at world's end,tt0449088,"Will Turner, Elizabeth Swann, Hector Barbossa, and the crew of the Black Pearl try and rescue Jack from davy jones locker and prepare to fight Lord Cutler Beckett, who controls Davy Jones and the Flying Dutchman."
63,63,Suicide Squad,2016,PG-13,2h 3min,Action; Adventure; Fantasy; ,5 August 2016 (USA),6.0,581986,2253,https://www.imdb.com/title/tt1386697/reviews/_ajax?ref_=undefined&paginationKey=,63,suicide squad,tt1386697,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.
64,64,Edge of Tomorrow,2014,PG-13,1h 53min,Action; Adventure; Sci-Fi; ,6 June 2014 (USA),7.9,581938,967,https://www.imdb.com/title/tt1631867/reviews/_ajax?ref_=undefined&paginationKey=,64,edge of tomorrow,tt1631867,A man fighting in a war against aliens must relive the same day every time he dies until he can find a way to stop their power source with the help of an elite soldier.
65,65,Thor: The Dark World,2013,PG-13,1h 52min,Action; Adventure; Fantasy; ,8 November 2013 (USA),6.9,578425,695,https://www.imdb.com/title/tt1981115/reviews/_ajax?ref_=undefined&paginationKey=,65,thor: the dark world,tt1981115,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster."
66,66,Kingsman: The Secret Service,2014,R,2h 9min,Action; Adventure; Comedy; ,13 February 2015 (USA),7.7,575952,935,https://www.imdb.com/title/tt2802144/reviews/_ajax?ref_=undefined&paginationKey=,66,kingsman: the secret service,tt2802144,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
67,67,Doctor Strange,2016,PG-13,1h 55min,Action; Adventure; Fantasy; ,4 November 2016 (USA),7.5,573177,945,https://www.imdb.com/title/tt1211837/reviews/_ajax?ref_=undefined&paginationKey=,67,doctor strange,tt1211837,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
68,68,Sherlock Holmes,2009,PG-13,2h 8min,Action; Adventure; Mystery; ,25 December 2009 (USA),7.6,571401,693,https://www.imdb.com/title/tt0988045/reviews/_ajax?ref_=undefined&paginationKey=,68,sherlock holmes,tt0988045,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
69,69,Star Trek,2009,PG-13,2h 7min,Action; Adventure; Sci-Fi; ,8 May 2009 (USA),7.9,570077,1650,https://www.imdb.com/title/tt0796366/reviews/_ajax?ref_=undefined&paginationKey=,69,star trek,tt0796366,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
70,70,Casino Royale,2006,PG-13,2h 24min,Action; Adventure; Thriller; ,17 November 2006 (USA),8.0,566966,2401,https://www.imdb.com/title/tt0381061/reviews/_ajax?ref_=undefined&paginationKey=,70,casino royale,tt0381061,"After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro."
71,71,Jurassic World,2015,PG-13,2h 4min,Action; Adventure; Sci-Fi; ,12 June 2015 (USA),7.0,566272,1531,https://www.imdb.com/title/tt0369610/reviews/_ajax?ref_=undefined&paginationKey=,71,jurassic world,tt0369610,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree."
72,72,X-Men,2000,PG-13,1h 44min,Action; Adventure; Sci-Fi; ,14 July 2000 (USA),7.4,559246,1447,https://www.imdb.com/title/tt0120903/reviews/_ajax?ref_=undefined&paginationKey=,72,x-men,tt0120903,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men."
73,73,Thor: Ragnarok,2017,PG-13,2h 10min,Action; Adventure; Comedy; ,3 November 2017 (USA),7.9,557591,1576,https://www.imdb.com/title/tt3501632/reviews/_ajax?ref_=undefined&paginationKey=,73,thor: ragnarok,tt3501632,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
74,74,Taken,2008,PG-13,1h 30min,Action; Thriller; ,30 January 2009 (USA),7.8,555820,1056,https://www.imdb.com/title/tt0936501/reviews/_ajax?ref_=undefined&paginationKey=,74,taken,tt0936501,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
75,75,Ant-Man,2015,PG-13,1h 57min,Action; Adventure; Comedy; ,17 July 2015 (USA),7.3,549076,718,https://www.imdb.com/title/tt0478970/reviews/_ajax?ref_=undefined&paginationKey=,75,ant-man,tt0478970,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world."
